Time,X,Y
2.116666666666666785e+01,3.085237426757812500e+02,2.924990234375000000e+02
2.120833333333333570e+01,3.087367553710937500e+02,2.931854553222656250e+02
2.125000000000000000e+01,3.026932067871093750e+02,2.929817810058593750e+02
2.129166666666666785e+01,2.723376464843750000e+02,3.123874511718750000e+02
2.133333333333333570e+01,2.698014831542968750e+02,3.104384460449218750e+02
2.137500000000000000e+01,2.713353576660156250e+02,3.136287231445312500e+02
2.141666666666666785e+01,2.738420410156250000e+02,3.124961242675781250e+02
2.145833333333333570e+01,3.031498413085937500e+02,2.949994201660156250e+02
2.150000000000000000e+01,3.048890686035156250e+02,2.950107727050781250e+02
2.154166666666666785e+01,3.395755615234375000e+02,2.876239013671875000e+02
2.158333333333333570e+01,3.394838867187500000e+02,2.892738952636718750e+02
2.162500000000000000e+01,3.764316406250000000e+02,2.909845275878906250e+02
2.166666666666666785e+01,3.399136352539062500e+02,2.886901245117187500e+02
2.170833333333333570e+01,3.770784301757812500e+02,2.912224426269531250e+02
2.175000000000000000e+01,3.423121337890625000e+02,2.884209899902343750e+02
2.179166666666666785e+01,3.481135864257812500e+02,2.906328125000000000e+02
2.183333333333333570e+01,3.423917541503906250e+02,2.862506408691406250e+02
2.187500000000000000e+01,3.467564697265625000e+02,2.907493591308593750e+02
2.191666666666666785e+01,3.288735351562500000e+02,2.904307556152343750e+02
2.195833333333333570e+01,3.044038696289062500e+02,2.956235046386718750e+02
2.200000000000000000e+01,3.025737915039062500e+02,2.959966735839843750e+02
2.204166666666666785e+01,3.035851440429687500e+02,2.952407836914062500e+02
2.208333333333333570e+01,3.004324340820312500e+02,2.958267822265625000e+02
2.212500000000000000e+01,2.994133605957031250e+02,2.961156921386718750e+02
2.216666666666666785e+01,3.049944458007812500e+02,2.954093627929687500e+02
2.220833333333333570e+01,2.563056030273437500e+02,3.021344604492187500e+02
2.225000000000000000e+01,3.072630615234375000e+02,2.967526855468750000e+02
2.229166666666666785e+01,3.288041076660156250e+02,2.922793884277343750e+02
2.233333333333333570e+01,3.425029296875000000e+02,2.894816589355468750e+02
2.237500000000000000e+01,3.432233581542968750e+02,2.876125488281250000e+02
2.241666666666666785e+01,3.299697570800781250e+02,2.917584228515625000e+02
2.245833333333333570e+01,3.505459594726562500e+02,2.913618469238281250e+02
2.250000000000000000e+01,3.509652709960937500e+02,2.896696166992187500e+02
2.254166666666666785e+01,3.290604248046875000e+02,2.916238098144531250e+02
2.258333333333333570e+01,3.505397338867187500e+02,2.912375793457031250e+02
2.262500000000000000e+01,3.266349792480468750e+02,2.916937255859375000e+02
2.266666666666666785e+01,3.250269470214843750e+02,2.922399597167968750e+02
2.270833333333333570e+01,3.268966064453125000e+02,2.917563171386718750e+02
2.275000000000000000e+01,3.062553100585937500e+02,2.943210144042968750e+02
2.279166666666666785e+01,3.039455566406250000e+02,2.942823181152343750e+02
2.283333333333333570e+01,2.829990234375000000e+02,2.894155273437500000e+02
2.287500000000000000e+01,3.044142761230468750e+02,2.924868774414062500e+02
2.291666666666666785e+01,2.743883361816406250e+02,3.183703002929687500e+02
2.295833333333333570e+01,2.754190368652343750e+02,3.204582824707031250e+02
2.300000000000000000e+01,3.142537841796875000e+02,2.965579223632812500e+02
2.304166666666666785e+01,3.112089233398437500e+02,2.964937133789062500e+02
2.308333333333333570e+01,3.192808532714843750e+02,2.959426574707031250e+02
2.312500000000000000e+01,3.267872314453125000e+02,2.956162414550781250e+02
2.316666666666666785e+01,3.354949645996093750e+02,2.906573181152343750e+02
2.320833333333333570e+01,3.451660766601562500e+02,2.889610900878906250e+02
2.325000000000000000e+01,3.458084106445312500e+02,2.905990600585937500e+02
2.329166666666666785e+01,2.637005310058593750e+02,2.771254882812500000e+02
2.333333333333333570e+01,3.460054321289062500e+02,2.887825622558593750e+02
2.337500000000000000e+01,3.239745788574218750e+02,2.961056518554687500e+02
2.341666666666666785e+01,3.167202148437500000e+02,2.961964416503906250e+02
